Activity UUID_Product UUID,Activity Name,Geography,Reference Product Name,lca_geo
bc37b2c3-623c-5095-9025-868a61af8713_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",CH,"absorption chiller, 100kW",ch
499dba65-ddeb-5ead-a2e3-16fbab5cdb3e_85c1094f-fe6e-4869-9759-47fa520b3354,"absorption chiller production, 100kW",RoW,"absorption chiller, 100kW",row
1dafc6b0-aa52-5e31-98c0-c57c5662284e_86e7640d-9427-47f7-b801-03f9df666a18,"acetaldehyde production, ethylene oxidation",RoW,acetaldehyde,row
fdf3e515-9eaf-53e1-818c-c779becbd206_86e7640d-9427-47f7-b801-03f9df666a18,"acetaldehyde production, ethylene oxidation",RER,acetaldehyde,rer
59efa5ba-71ad-5aca-a0b8-7ee0813e5208_2487d46f-ca68-45fe-9baf-c8546908cef2,"acetamide-anillide-compound production, unspecified",RoW,"acetamide-anillide-compound, unspecified",row
08ce1b10-739e-56c6-8971-3da9d8fc58f6_2487d46f-ca68-45fe-9baf-c8546908cef2,"acetamide-anillide-compound production, unspecified",RER,"acetamide-anillide-compound, unspecified",rer
4e060c7b-55bf-541e-8aed-f4cfdcdec2e6_98c3d189-a2b3-4d52-b833-e896553847e9,acetanilide production,RoW,acetanilide,row
e7a6a027-9b50-59ee-b51f-bfe46670984b_98c3d189-a2b3-4d52-b833-e896553847e9,acetanilide production,RER,acetanilide,rer
42ef687a-8f78-56ac-aaea-acedc2991cb3_e36aa595-9fc6-4eff-8f34-a9b11f460762,"acetic acid production, butane oxidation",RoW,"acetic acid, without water, in 98% solution state",row
42ef687a-8f78-56ac-aaea-acedc2991cb3_15e08bcb-75e0-4f45-ab47-d6ddff721ebc,"acetic acid production, butane oxidation",RoW,"acetone, liquid",row
42ef687a-8f78-56ac-aaea-acedc2991cb3_1a71f77c-edaa-4365-a192-f54ac538d033,"acetic acid production, butane oxidation",RoW,ethyl acetate,row
