clustered_id;clustered;is_product;comments;typo_correction;is_activity
f2f741a8cd8dcc42abd8098d3f8a89e313c949af;water filtering plants;0;;;FALSE
b152ad89ffbf60719c7e40f1bc75dd3b8e12ea36;industrial filters;0;;;FALSE
3c9d034af2e9264b7f1cf736738ffdf907ca641a;landfill gas technology;0;;;FALSE
40bbe238fcc3819efdbe1178c11a7c91c8c65b83;digestion tower, digester;0;;;FALSE
ffbaa7498dcd55c02901b70025001cca6212ac18;apparatus for environmental engineering;0;;;FALSE
9e01984dfd2bb771b5578644f428a3fc7a627cf0;high temperature flare;0;;;FALSE
fede05f1b7d62dd146befa9501b7957f4f29f0f6;wood gas flare;0;;;FALSE
4041dfb925cf2c7d00456f7a2e66654ae8220ae9;pyrolysis flare;0;;;FALSE
4a37d6c448d1a9410b360e615ec173e56969efb8;flexible packing;0;;;FALSE
1ecfde98554f1214ae7413b4a2ef671bb29260a0;greetings card packaging;0;;;FALSE
da3720a5a81bedf1317eb2ee9ab285f24133d596;unlimited material mix;0;;;FALSE
2437c9dbd2bce759f05d2c1ad4958e1aa3a579d6;gear trimming;0;;;FALSE
e2600d09547050f468140c5d0ca5303a18c994e4;air groupage;0;;;FALSE
138e1392cfde168bfdacccce0f2b1f8f20fab438;solid waste disposal;0;;;FALSE
2cb9f5603ee5c85c4413254fb8c246e7d3096759;electronic waste disposal;0;;;FALSE
839e2b5c2879f2c6485eb1cf0b7a789709faf0e4;earthmoving;0;;;FALSE
78f6173c9c7acf810ca77d29495a0496d8deba4d;beef slaughter;0;;;FALSE
38053a2c05195b47133be5567f2021ca3c48cad9;3d design;0;;;FALSE
4e7f084a5ba8e7f2993d8b04e4184dec2a97b4ce;packaging made from blackplate;0;;;FALSE
03a7e755aa945c4de4f65d7b73adb8565b19e507;quantity measurement;0;;;FALSE
96f73671fdfdf38cfda8543db6193a7e3becab03;filtration of wastewater;0;;;FALSE
2c335fc9d686686836be8071ea0b241571066651;wastewater technology;0;;;FALSE
ae117fb4e1656f81a6288f2986bb76acaef2a66c;inverse osmosis;0;;;FALSE
055a8a4cacae9aa7e2081dcbcae5c5d689b25120;gas oil burner maintenance;0;;;FALSE
c33a88c993fbd73a687983444e6502f76b1c4493;plant reconstructions;0;;;FALSE
d492101859a42e50274231159c1e49023e3c35c0;actuator technology;0;;;FALSE
31b06b49b944b88b18abbf9a7a043013c6903b0c;linear technology;0;;;FALSE
53cb45de334555da2c6f06c35b1deae5661dca50;industrial sewing machines;0;;;FALSE
7d9a99b45850e79199d12fc82394d476db159a1f;hengtai;0;;;FALSE
efd3caec4164d2f623709125339228b926ef1d3c;ventas;0;;sales;FALSE
a1c98f4608d669506974945a3bb2d4c465ed8402;furniture transport;0;;;FALSE
fa2e4fb634ddded870792bfeba6589f0ae34c0e2;pressure measurement;0;;;FALSE
9e26064f0710dcb70b78f97479cbb13cbb404a3e;hydraulic test rigs;0;;;FALSE
